Title,Category Id,Parent Id
English,1075,0
United States,1076,1075
Private Sector,1072,1076
Automotive,1,1072
Business,2,1
Associations,3,2
Electric Vehicles,4,2
Import_Export,5,2
Marketing,6,2
Motorcycles,7,2
Parts,8,2
Racing,9,2
Related Services,10,2
Rentals,11,2
Retail,12,2
RVs,13,2
Snow Clearing,14,2
Snowmobiles,15,2
Training,16,2
Wholesale,17,2
Shopping,19,1
Accessories,20,19
Parts,21,19
Aircraft,22,19
Auction,23,19
Autos,24,19
Directories,25,19
Motorcycles,26,19
Parts,27,19
RVS,28,19
Watercraft,29,19
General,600015,19
General,4000,1
Healthcare,30,1072
Accupuncture,31,30
Alternative,32,30
Anti_Aging,33,30
Associations,34,30
Audiology,35,30
Business_Services,36,30
Child_Development,37,30
General,1058,37
Chiropractic,38,30
Consumer_Healthcare,39,30
Dental,40,30
Dietary,41,30
Disabilities,42,30
Diseases,43,30
Elder_Care,44,30
Employment,45,30
Fitness,46,30
Generic,47,30
Governement_Healthcare,48,30
Health_Eduaction,49,30
Health_Libraries,50,30
Hospitals,51,30
Hypnotherapy,52,30
Laboratories,53,30
Life_Sciences,54,30
Managed_Care,55,30
Medical,56,30
Mens_Health,57,30
Mental_Health,58,30
Naturopathic,59,30
Nursing,60,30
Nutrition,61,30
Occupational,62,30
Optometry,63,30
Pharmacy,64,30
Physical_Therapy,65,30
Podiatry,66,30
Public_Health,67,30
Publications,68,30
Social_Services,69,30
Speech_Therapy,70,30
Sr_Health,71,30
Support_Groups,72,30
Technology,73,30
Vetrinary_Medicine,74,30
Womens_Health,75,30
General,4001,30
Adult,395,1072
Dating,357,395
Hardcore,457,395
Ethnic Group,409,457
American,396,409
Arab,397,409
Asian,398,409
Black,399,409
Brazilian,400,409
Ebony,401,409
European,402,409
Indian,403,409
Interracial,404,409
Latin,405,409
Mexican,406,409
Russian,407,409
Turkish,408,409
General,4073,409
Fetish,456,457
3D,410,456
Abuse,411,456
Aggressive,412,456
Amateur,413,456
Bdsm,414,456
Bisexual,415,456
Brutal,416,456
Bukkake,417,456
Cash,418,456
Creampie,419,456
Crossdressing,420,456
Crying,421,456
Cuckold,422,456
Dark,423,456
Deepthroat,424,456
Double Penetration,425,456
Extreme,426,456
Feet,427,456
Fisting,428,456
Food,429,456
Furry,430,456
Gangbang,431,456
Gay,432,456
Group Sex,433,456
Hairy,434,456
Hentai,435,456
Lactating,436,456
Ladyboy,437,456
Latex,438,456
Orgy,439,456
Peeing,440,456
Piercing,441,456
Piledriver,442,456
Pissing,443,456
Pregnant,444,456
Scream,445,456
Shemale,446,456
Smoking,447,456
Spitting,448,456
Squirting,449,456
Staged Rape,450,456
Stretching,451,456
Teen hardcore,452,456
Threesome,453,456
Transexual,454,456
Voyeur,455,456
General,4072,456
General,4003,457
xvideos.com,500047,4003
xnxx.com,500048,4003
redtube.com,500049,4003
youporn.com,500050,4003
youjizz.com,500051,4003
beeg.com,500052,4003
Softcore,635,395
Body,505,635
Athletic,458,505
Babe,459,505
BBW,460,505
Big ass,461,505
Big tits,462,505
Bikini,463,505
Black cock,464,505
Blonde,465,505
Brunette,466,505
Busty,467,505
Camel Toe,468,505
Cock,469,505
Curly,470,505
Cute,471,505
Emo,472,505
Eyes,473,505
Face,474,505
Flexible,475,505
Glamour,476,505
Glasses,477,505
Granny,478,505
Hairstyle,479,505
Jeans,480,505
Lady,481,505
Legs,482,505
Long hair,483,505
Mature,484,505
Midget,485,505
MILF,486,505
Natural,487,505
New face,488,505
Oiled,489,505
Old man,490,505
Perky tits,491,505
Petite,492,505
Pigtails,493,505
Pussy,494,505
Redhead,495,505
Shaved,496,505
Skinny,497,505
Small Cock,498,505
Small tits,499,505
Tanned,500,505
Tattoo,501,505
Teen,502,505
Twink,503,505
White,504,505
General,4071,505
Ethnic Group,519,635
American,506,519
Arab,507,519
Asian,508,519
Black,509,519
Brazilian,510,519
Ebony,511,519
European,512,519
Indian,513,519
Interracial,514,519
Latin,515,519
Mexican,516,519
Russian,517,519
Turkish,518,519
General,4070,519
Games,520,635
Scenario,610,635
Amateur,521,610
Army,522,610
Babysitter,523,610
Bath,524,610
Beach,525,610
Bizzare,526,610
Bride,527,610
Campus,528,610
Car,529,610
Casting,530,610
Celebrity,531,610
Cfnm,532,610
Cheat,533,610
Cheerleader,534,610
Classroom,535,610
Club,536,610
Compilation,537,610
Couple,538,610
Couples,539,610
Decorations,540,610
Desk,541,610
Doctor,542,610
Drunk,543,610
Emotional,544,610
Family,545,610
Fantasy,546,610
Female Friendly,547,610
Femdom,548,610
Group Sex,549,610
Floor,550,610
From behind,551,610
Gloryhole,552,610
Gonzo,553,610
Hidden cam,554,610
Homemade,555,610
Hotel,556,610
Housewife,557,610
In nature,558,610
Instructional,559,610
Kitchen,560,610
Lesbian,561,610
Maid,562,610
Mom,563,610
Money,564,610
Next door,565,610
Nun,566,610
Nurse,567,610
Observe,568,610
Office,569,610
Party,570,610
Patient,571,610
Police,572,610
Pool,573,610
Pornstar,574,610
Posing,575,610
POV,576,610
Prison,577,610
Public,578,610
Scene,579,610
School,580,610
Shaving,581,610
Showing off,582,610
Sister,583,610
Slave,584,610
Sleep,585,610
Sofa,586,610
Solo girl,587,610
Solo Male,588,610
Sporty,589,610
Step-daughter,590,610
Step-mom,591,610
Storyline,592,610
Straight Sex,593,610
Student,594,610
Submissive,595,610
Swinger,596,610
Table,597,610
Threesome,598,610
Tied,599,610
Toilet,600,610
Twin,601,610
Vintage,602,610
Virgin,603,610
Whore,604,610
Wife,605,610
Yacht,606,610
Young,607,610
Young & old,608,610
Young couple,609,610
General,4069,610
Sexual Act,634,635
Anal,611,634
Bend over,612,634
Blowjob,613,634
Closeup,614,634
Cowgirl,615,634
Creampie,616,634
Cumshots,617,634
Cunnilingus,618,634
Dancing,619,634
Doggystyle,620,634
Fingering,621,634
Footjob,622,634
Handjob,623,634
Masturbation,624,634
Missionary,625,634
Riding,626,634
Rough sex,627,634
Sixty Nine,628,634
Spreading,629,634
Standing position,630,634
Strapon,631,634
Tittyfuck,632,634
Toys,633,634
General,4004,635
Stories,636,395
Webcam,637,395
Search,1066,395
Forums,1068,395
xvideos.com,4093,395
xnxx.com,4094,395
redtube.com,4095,395
youporn.com,4096,395
youjizz.com,4097,395
beeg.com,4098,395
hardsextube.com,4099,395
ixxx.com,4100,395
drtuber.com,4101,395
spankwire.com,4102,395
xtube.com,4103,395
keezmovies.com,4104,395
porn.com,4105,395
porntube.com,4106,395
sunporno.com,4107,395
sunporno.com vidoes,4111,4107
sunporno.com nitches,4112,4107
sunporno.com dating,4113,4107
nuvid.com,4108,395
pornoxo.com,4109,395
poernerbros.com,4110,395
xhamster.com,4114,395
tube8.com,4115,395
sex.com,4116,395
tnaflix.com,4117,395
vporn.com,4118,395
News,671,1072
Business,659,671
Auto,638,659
Currency,639,659
Economy,640,659
Energy,641,659
Finance,642,659
Financial,643,659
Health Care,644,659
Industry,645,659
Insurance,646,659
Investing,647,659
Management,648,659
Manufacturing,649,659
Marketing,650,659
Markets,651,659
Media,652,659
Real Estate,653,659
Retail,654,659
Retirement,655,659
Small Business,656,659
Stocks,657,659
Transportation,658,659
General,4007,659
Entertainment,670,671
Art,660,670
Books,661,670
Celebrity,662,670
Comedy,663,670
Fashion,664,670
Film,665,670
Gaming,666,670
Music,667,670
Television,668,670
Theatre,669,670
Hobbies,1056,670
General,4010,670
International,680,671
Africa,672,680
Americas,673,680
Asia,674,680
Europe,675,680
Global Politics,676,680
Middle East,677,680
Oceania,678,680
Terrorism,679,680
General,4011,680
Living,699,671
Style & Beauty,681,699
Dating,684,699
Family,685,699
Food,689,699
Home,692,699
Horoscope,693,699
Jobs,694,699
Parenting,695,699
Pets,696,699
Retirement,697,699
Travel,698,699
General,4012,699
Local,701,671
National,706,671
Religion,712,671
Science,727,671
Archaeology,713,727
Astronomy,714,727
Environment,715,727
Health,716,727
Nutrition & Fitness,717,716
Medicine,718,716
Mental Health,719,716
Physical Health,720,716
General,4068,716
Nature,721,727
Technology,722,727
Software,723,722
Computers,724,722
Gadgets,725,722
Internet,726,722
General,4067,722
General,4016,727
Sports,741,671
Baseball,728,741
Basketball,729,741
Combat Sports,730,741
Cricket,731,741
Football,732,741
Golf,733,741
Hockey,734,741
Horse Racing,735,741
Motor Sports,736,741
Rugby,737,741
Soccer,738,741
Tennis,739,741
Volleyball,740,741
General,4017,741
Blogs,1057,671
Entertainment,500053,1057
Medical,500054,1057
Photography,500055,1057
Social Media,500056,1057
General,500057,1057
Politics,1069,671
Congress,707,1069
Election,708,1069
Generic,709,1069
National,710,1069
Regional,711,1069
General,4065,1069
National,1070,671
Education,702,1070
Justice,703,1070
Military ,704,1070
Terrorism,705,1070
cnn.com,2000,671
nytimes.com,2001,671
washingtonpost.com,2002,671
huffingtonpost.com,2003,671
america.aljazeera.com,2004,671
usatoday.com,2005,671
nbcnews.com,2006,671
slate.com,2007,671
online.wsj.com,2008,671
thenation.com,2009,671
ipsnews.net,2010,671
bloomberg.com,2011,671
forbes.com,2012,671
online.barrons.com,2013,671
wn.com,2014,671
businessweek.com,2015,671
newsblaze.com,2016,671
espn.go.com,2017,671
General,4008,671
Education,700,1072
Shopping,853,1072
Art,742,853
Children,743,853
Clothing,750,853
Accessories,744,750
Bags,745,744
Jewlery,746,744
Watches,749,744
Accessories,1071,744
General,4066,744
Pants,747,750
Tops,748,750
General,4019,750
Collectables,751,853
Electronics,752,853
Accessories,753,752
Computers,754,752
Printers,755,752
Audio,756,752
Video,757,752
Communications,758,752
Navigation,759,752
General,4020,752
Entertainment,760,853
Movies,761,760
Music,762,760
Television,763,760
Toys,764,760
Games,765,760
Video Games,766,760
General,4021,760
Food,767,853
Cleaning,768,767
Cooking,769,767
International Foods,770,767
Beverage,771,767
Dairy,772,767
Meat,773,767
Produce,774,767
Snacks,775,767
Baked Goods,776,767
Canned Goods,777,767
Breakfast Foods,778,767
Frozen Goods,779,767
General,4022,767
Health & Beauty,780,853
Fragrances,781,780
Makeup,782,780
Skin Care,783,780
Pharmacy,784,780
Reproductive,785,780
Alternative,786,780
Disabilities,787,780
Safety,788,780
Weight Loss,789,780
Nutrition,790,780
General,4023,780
Home Improvement,791,853
Supplies,792,791
Tools,793,791
Plumbing,794,791
Electrical,795,791
Doors & Windows,796,791
Paint,797,791
